Nome: LINS
Codigo Estacao: A727
Latitude: -21.66611111
Longitude: -49.73472221
Altitude: 460.65
Situacao: Operante
Data Inicial: 2018-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);
2019-06-20;0;29,5;21,7;15,3;
2019-06-21;0;28,3;21,9;17;
2019-06-22;0;27,7;20,9;15,8;
2019-06-23;0;28,4;20,7;13,6;
2019-06-24;0;29,3;20;12,9;
2019-06-25;0;30,7;21,8;14,4;
2019-06-26;0;31,4;22,6;15,2;
2019-06-27;0;25;20,5;17,3;
2019-06-28;,2;31,5;23,1;17,8;
2019-06-29;0;30,4;23,1;16,5;
2019-06-30;0;30,7;22,8;17;
2019-07-01;0;31,1;22,2;14,9;
2019-07-02;0;30,2;22,1;15,4;
2019-07-03;0;31,3;23,2;17;
2019-07-04;1;26,9;21;17,8;
2019-07-05;25,2;21,4;18;16,4;
2019-07-06;0;17,3;11,1;5,1;
2019-07-07;0;20,2;11,6;5,6;
2019-07-08;0;23,2;14,5;8;
2019-07-09;0;27,1;18;11;
2019-07-10;0;27,4;18,9;12,2;
2019-07-11;0;27,5;17,8;10,1;
2019-07-12;0;28,4;20;13,1;
2019-07-13;0;30;20,4;13,2;
2019-07-14;0;31,3;21,4;13,9;
2019-07-15;0;31,3;22,5;17;
2019-07-16;3,2;25,3;19,6;15,1;
2019-07-17;0;22,6;15,2;8,9;
2019-07-18;0;24,7;16,8;10,8;
2019-07-19;0;26,1;19,2;13,3;
2019-07-20;0;26,8;20,1;14;
2019-07-21;0;27,8;19,9;13,8;
2019-07-22;0;28,2;21;15,3;
2019-07-23;0;29,3;21,5;14,9;
2019-07-24;0;30,2;21,2;14;
2019-07-25;0;30,3;23,3;17,8;
2019-07-26;0;30,5;23;16,6;
2019-07-27;0;29,7;22,1;15,4;
2019-07-28;0;28,7;21,4;15,9;
2019-07-29;0;29,9;21,5;15,6;
2019-07-30;0;30,7;22,6;15,6;
2019-07-31;0;29,7;21,4;13,6;
2019-08-01;0;32,7;22,5;14,5;
2019-08-02;0;34;25;19,2;
2019-08-03;,6;25,6;17,6;13,3;
2019-08-04;0;17,3;13,7;13;
2019-08-05;3,2;22,6;16,1;11,5;
2019-08-06;8,8;24,4;18,2;14,5;
2019-08-07;2;29,9;21,9;15;
2019-08-08;0;30,8;22,7;15,5;
2019-08-09;0;32,4;23,3;15,7;
